category,entity,score
qa_summary_filtered_automotive.json,95,57.8
qa_summary_filtered_baby.json,17,69.56
qa_summary_filtered_beauty.json,20,62.84
qa_summary_filtered_cell_phones_and_accessories.json,94,50.56
qa_summary_filtered_clothing_shoes_and_jewelry.json,10,48.17
qa_summary_filtered_electronics.json,304,55.11
qa_summary_filtered_grocery_and_gourmet_food.json,22,54.91
qa_summary_filtered_health_and_personal_care.json,80,52.75
qa_summary_filtered_home_and_kitchen.json,262,62.04
qa_summary_filtered_musical_instruments.json,22,66.65
qa_summary_filtered_office_products.json,66,45.2
qa_summary_filtered_patio_lawn_and_garden.json,70,47.08
qa_summary_filtered_pet_supplies.json,11,53.42
qa_summary_filtered_sports_and_outdoors.json,163,47.57
qa_summary_filtered_tools_and_home_improvement.json,138,45.58
qa_summary_filtered_toys_and_games.json,54,60.85
qa_summary_filtered_video_games.json,12,61.22
all,1440,54.17
